index,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Year
7143,"Austin-Round Rock, TX",12420,1991-10-31,28,Good,NO2,48-453-0017,3,1991
7144,"Austin-Round Rock, TX",12420,1991-11-01,38,Good,Ozone,48-453-0017,3,1991
7145,"Austin-Round Rock, TX",12420,1991-11-02,32,Good,Ozone,48-453-0014,5,1991
7146,"Austin-Round Rock, TX",12420,1991-11-03,35,Good,Ozone,48-453-0014,3,1991
7147,"Austin-Round Rock, TX",12420,1991-11-04,57,Moderate,NO2,48-453-0017,3,1991
7148,"Austin-Round Rock, TX",12420,1991-11-05,38,Good,NO2,48-453-0017,2,1991
7149,"Austin-Round Rock, TX",12420,1991-11-06,39,Good,Ozone,48-453-0014,2,1991
7150,"Austin-Round Rock, TX",12420,1991-11-07,28,Good,NO2,48-453-0017,3,1991
7151,"Austin-Round Rock, TX",12420,1991-11-08,38,Good,NO2,48-453-0017,4,1991
7152,"Austin-Round Rock, TX",12420,1991-11-09,38,Good,NO2,48-453-0017,3,1991
7153,"Austin-Round Rock, TX",12420,1991-11-10,47,Good,NO2,48-453-0017,3,1991
7154,"Austin-Round Rock, TX",12420,1991-11-11,38,Good,NO2,48-453-0017,3,1991
7155,"Austin-Round Rock, TX",12420,1991-11-12,68,Moderate,NO2,48-453-0017,3,1991
7156,"Austin-Round Rock, TX",12420,1991-11-13,74,Moderate,Ozone,48-453-0014,2,1991
7157,"Austin-Round Rock, TX",12420,1991-11-14,47,Good,NO2,48-453-0017,4,1991
7158,"Austin-Round Rock, TX",12420,1991-11-15,28,Good,NO2,48-453-0017,2,1991
7159,"Austin-Round Rock, TX",12420,1991-11-16,29,Good,Ozone,48-453-0014,2,1991
7160,"Austin-Round Rock, TX",12420,1991-11-17,38,Good,NO2,48-453-0017,2,1991
7161,"Austin-Round Rock, TX",12420,1991-11-18,68,Moderate,NO2,48-453-0017,3,1991
7162,"Austin-Round Rock, TX",12420,1991-11-19,33,Good,Ozone,48-453-0014,3,1991
7163,"Austin-Round Rock, TX",12420,1991-11-20,57,Moderate,NO2,48-453-0017,5,1991
7164,"Austin-Round Rock, TX",12420,1991-11-21,68,Moderate,NO2,48-453-0017,3,1991
7165,"Austin-Round Rock, TX",12420,1991-11-22,57,Moderate,NO2,48-453-0017,3,1991
7166,"Austin-Round Rock, TX",12420,1991-11-23,38,Good,NO2,48-453-0017,3,1991
7167,"Austin-Round Rock, TX",12420,1991-11-24,47,Good,NO2,48-453-0017,3,1991
7168,"Austin-Round Rock, TX",12420,1991-11-25,47,Good,NO2,48-453-0017,3,1991
7169,"Austin-Round Rock, TX",12420,1991-11-26,47,Good,NO2,48-453-0017,5,1991
7170,"Austin-Round Rock, TX",12420,1991-11-27,28,Good,Ozone,48-453-0014,3,1991
7171,"Austin-Round Rock, TX",12420,1991-11-28,34,Good,Ozone,48-453-0014,3,1991
7172,"Austin-Round Rock, TX",12420,1991-11-29,32,Good,Ozone,48-453-0014,3,1991
7173,"Austin-Round Rock, TX",12420,1991-11-30,19,Good,NO2,48-453-0017,3,1991
7174,"Austin-Round Rock, TX",12420,1991-12-01,18,Good,Ozone,48-453-0003,3,1991
7175,"Austin-Round Rock, TX",12420,1991-12-02,39,Good,CO,48-453-0017,5,1991
7176,"Austin-Round Rock, TX",12420,1991-12-03,39,Good,CO,48-453-0017,3,1991
7177,"Austin-Round Rock, TX",12420,1991-12-04,38,Good,NO2,48-453-0017,3,1991
7178,"Austin-Round Rock, TX",12420,1991-12-05,47,Good,NO2,48-453-0017,3,1991
7179,"Austin-Round Rock, TX",12420,1991-12-06,28,Good,NO2,48-453-0017,3,1991
7180,"Austin-Round Rock, TX",12420,1991-12-07,28,Good,NO2,48-453-0017,3,1991
7181,"Austin-Round Rock, TX",12420,1991-12-08,20,Good,Ozone,48-453-0014,5,1991
7182,"Austin-Round Rock, TX",12420,1991-12-09,38,Good,NO2,48-453-0017,3,1991
7183,"Austin-Round Rock, TX",12420,1991-12-10,38,Good,NO2,48-453-0017,3,1991
7184,"Austin-Round Rock, TX",12420,1991-12-11,20,Good,CO,48-453-0017,3,1991
7185,"Austin-Round Rock, TX",12420,1991-12-12,34,Good,CO,48-453-0017,2,1991
7186,"Austin-Round Rock, TX",12420,1991-12-13,38,Good,NO2,48-453-0017,2,1991
7187,"Austin-Round Rock, TX",12420,1991-12-14,38,Good,NO2,48-453-0017,4,1991
7188,"Austin-Round Rock, TX",12420,1991-12-15,38,Good,NO2,48-453-0017,2,1991
7189,"Austin-Round Rock, TX",12420,1991-12-16,38,Good,NO2,48-453-0017,3,1991
7190,"Austin-Round Rock, TX",12420,1991-12-17,39,Good,CO,48-453-0017,2,1991
7191,"Austin-Round Rock, TX",12420,1991-12-18,33,Good,CO,48-453-0017,3,1991
7192,"Austin-Round Rock, TX",12420,1991-12-19,35,Good,Ozone,48-453-0014,3,1991
7193,"Austin-Round Rock, TX",12420,1991-12-20,35,Good,Ozone,48-453-0014,4,1991
7194,"Austin-Round Rock, TX",12420,1991-12-21,19,Good,NO2,48-453-0017,2,1991
7195,"Austin-Round Rock, TX",12420,1991-12-22,14,Good,CO,48-453-0017,2,1991
7196,"Austin-Round Rock, TX",12420,1991-12-23,29,Good,Ozone,48-453-0014,3,1991
7197,"Austin-Round Rock, TX",12420,1991-12-24,27,Good,Ozone,48-453-0014,3,1991
7198,"Austin-Round Rock, TX",12420,1991-12-25,28,Good,NO2,48-453-0017,2,1991
7199,"Austin-Round Rock, TX",12420,1991-12-26,22,Good,Ozone,48-453-0014,5,1991
7200,"Austin-Round Rock, TX",12420,1991-12-27,22,Good,Ozone,48-453-0014,3,1991
7201,"Austin-Round Rock, TX",12420,1991-12-28,30,Good,Ozone,48-453-0003,3,1991
7202,"Austin-Round Rock, TX",12420,1991-12-29,28,Good,NO2,48-453-0017,3,1991
7203,"Austin-Round Rock, TX",12420,1991-12-30,38,Good,NO2,48-453-0017,3,1991
7204,"Austin-Round Rock, TX",12420,1991-12-31,38,Good,NO2,48-453-0017,3,1991
26419,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-01,38,Good,NO2,48-439-1002,8,1991
26420,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-02,28,Good,NO2,48-439-1003,9,1991
26421,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-03,19,Good,Ozone,48-439-2003,7,1991
26422,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-04,56,Moderate,SO2,48-439-1002,9,1991
26423,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-05,34,Good,CO,48-439-1003,8,1991
26424,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-06,33,Good,CO,48-439-1003,15,1991
26425,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-07,23,Good,Ozone,48-439-1002,8,1991
26426,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-08,30,Good,PM10,48-113-0018,9,1991
26427,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-09,29,Good,SO2,48-439-1002,8,1991
26428,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-10,19,Good,Ozone,48-439-1002,9,1991
26429,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-11,21,Good,Ozone,48-439-1002,8,1991
26430,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-12,47,Good,NO2,48-439-1002,15,1991
26431,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-13,38,Good,NO2,48-113-0069,8,1991
26432,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-14,47,Good,NO2,48-113-0069,9,1991
26433,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-15,57,Moderate,NO2,48-113-0069,8,1991
26434,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-16,100,Moderate,NO2,48-113-0069,9,1991
26435,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-17,47,Good,NO2,48-439-1002,8,1991
26436,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-18,38,Good,NO2,48-439-1002,18,1991
26437,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-19,38,Good,NO2,48-113-0069,8,1991
26438,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-20,28,Good,Ozone,48-439-2003,9,1991
26439,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-21,38,Good,NO2,48-113-0069,8,1991
26440,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-22,47,Good,NO2,48-113-0069,8,1991
