CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-23,51,Moderate,SO2,13-121-0048,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-24,154,Unhealthy,Ozone,13-097-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-25,143,Unhealthy for Sensitive Groups,Ozone,13-089-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-26,100,Moderate,Ozone,13-089-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-27,43,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-28,57,Moderate,SO2,13-121-0053,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-29,126,Unhealthy for Sensitive Groups,Ozone,13-247-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-30,161,Unhealthy,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-31,122,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-01,47,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-02,44,Good,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-03,49,Good,SO2,13-121-0053,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-04,117,Unhealthy for Sensitive Groups,SO2,13-121-0048,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-05,204,Very Unhealthy,Ozone,13-089-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-06,161,Unhealthy,Ozone,13-089-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-07,143,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-08,140,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-09,136,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-10,115,Unhealthy for Sensitive Groups,Ozone,13-247-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-11,202,Very Unhealthy,Ozone,13-247-0001,11
